Date,Amount,Details,Description,Location,Category
22/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD,Adelaide,Shopping
22/10/2025,-66.29,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
22/10/2025,-30.13,CINNAMON CLUB NORWOOD     NORWOOD,CINNAMON CLUB NORWOOD,NORWOOD,Dining & Food
21/10/2025,-24.89,UBER *EATS HELP.UBER.COM  Sydney,UBER *EATS HELP.UBER.COM,Sydney,Groceries
20/10/2025,-19.0,OFFICEWORKS 0503          NAILSWORTH,OFFICEWORKS 0503,NAILSWORTH,Health & Pharmacy
20/10/2025,-14.72,LS The Upside On Prosp    Prospect,LS The Upside On Prosp,Prospect,Other
20/10/2025,-30.86,LS The Upside On Prosp    Prospect,LS The Upside On Prosp,Prospect,Other
20/10/2025,-13.0,WILSON PARKING ADEOBS     ADELAIDE,WILSON PARKING ADEOBS,ADELAIDE,Shopping
20/10/2025,-44.8,UNIQLO RUNDLE MALL        Adelaide,UNIQLO RUNDLE MALL,Adelaide,Shopping
20/10/2025,-10.0,JONNY'S DELIGHTS 3        Hindmarsh,JONNY'S DELIGHTS 3,Hindmarsh,Groceries
20/10/2025,-93.11,Unihealth                 Adelaide,Unihealth,Adelaide,Other
20/10/2025,-23.27,MUNOOSHI CAFE PTY. LTD    ADELAIDE,MUNOOSHI CAFE PTY. LTD,ADELAIDE,Health & Pharmacy
20/10/2025,-30.88,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
17/10/2025,-14.5,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD,ADELAIDE,Health & Pharmacy
17/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD,Adelaide,Shopping
17/10/2025,-15.15,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
17/10/2025,-6.99,RUNDLE MALL FOODLAND      ADELAIDE,RUNDLE MALL FOODLAND,ADELAIDE,Groceries
16/10/2025,977.0,PAYMENT THANKYOU 622812,PAYMENT THANKYOU,622812,Banking & Transfers
16/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD,Adelaide,Shopping
16/10/2025,-28.88,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
15/10/2025,-14.5,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD,ADELAIDE,Health & Pharmacy
15/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD,Adelaide,Shopping
15/10/2025,-26.91,LEBARA RECHARGE           NORTH SYDNEY,LEBARA RECHARGE NORTH,SYDNEY,Shopping
14/10/2025,-5.02,SQ *CHAIOZ                North Adelaid,SQ *CHAIOZ North,Adelaid,Shopping
14/10/2025,-4.55,ADELAIDE METRO TAP        ADELAIDE,ADELAIDE METRO TAP,ADELAIDE,Dining & Food
13/10/2025,-7.6,COLES 0471                PROSPECT,COLES 0471,PROSPECT,Groceries
13/10/2025,-11.2,COLES 0471                PROSPECT,COLES 0471,PROSPECT,Groceries
13/10/2025,-71.33,UBER *EATS HELP.UBER.COM  Sydney,UBER *EATS HELP.UBER.COM,Sydney,Groceries
13/10/2025,-2.5,POST ADELAIDE UNIVERSI    ADELAIDE,POST ADELAIDE UNIVERSI,ADELAIDE,Health & Pharmacy
13/10/2025,-10.99,JB HI FI ADELAIDE CI      ADELAIDE,JB HI FI ADELAIDE CI,ADELAIDE,Health & Pharmacy
13/10/2025,-8.85,SUBWAY RUNDLE PLACE       ADELAIDE,SUBWAY RUNDLE PLACE,ADELAIDE,Dining & Food
13/10/2025,-15.05,SQ *ABANG ABANG           Adelaide,SQ *ABANG ABANG,Adelaide,Other
13/10/2025,-12.6,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD,Adelaide,Shopping
13/10/2025,-13.3,COLES 0471                PROSPECT,COLES 0471,PROSPECT,Groceries
13/10/2025,-11.0,STAR CHEMIST NORTHPARK    SEFTON PARK,STAR CHEMIST NORTHPARK SEFTON,PARK,Health & Pharmacy
13/10/2025,-32.18,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
10/10/2025,-3.3,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
10/10/2025,-33.84,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
09/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD,Adelaide,Shopping
