Date,Date Processed,Description,Amount
11/03/2026,12/03/2026,COLES CHURCHILL CENTRE4 ISLINGTON,4.18
10/03/2026,11/03/2026,ADE050 S808711          Adelaide,13.00
09/03/2026,10/03/2026,GLUTTONY FOOD AND WINE  Adelaide,5.50
06/03/2026,06/03/2026,NANYANG CAFE ????       Adelaide,25.60
05/03/2026,06/03/2026,MCDONALDS COLLINSWOOD S COLLINSWOOD,40.05
03/03/2026,04/03/2026,ADE050 S808711          Adelaide,8.00
02/03/2026,02/03/2026,BRUMBYS - NORTH PERTH   PROSPECT,3.64
01/03/2026,01/03/2026,APPLE.COM/BILL          SYDNEY,5.98
01/03/2026,01/03/2026,BUNNINGS WAREHOUSE 5212 PROSPECT,2.50
01/03/2026,01/03/2026,BUNNINGS WAREHOUSE 5212 PROSPECT,68.56
28/02/2026,28/02/2026,BUPA HI PTY LTD         MELBOURNE,161.08
28/02/2026,01/03/2026,GAME ON ENTERTAINMENT   SALISBURY SOU,10.50
28/02/2026,28/02/2026,ICE ARENA               Thebarton,5.00
28/02/2026,01/03/2026,PROSPECT KIWANIS        Prospect,3.50
27/02/2026,27/02/2026,BRUMBYS - NORTH PERTH   PROSPECT,3.64
27/02/2026,27/02/2026,CHAATMOSPHERE           Cavan,18.15
27/02/2026,27/02/2026,GREEN & GRILLED         Adelaide,16.50
27/02/2026,27/02/2026,TARGET CENTREPOINT 09   ADELAIDE,0.30
27/02/2026,27/02/2026,WOOLWORTHS 5687 NORTHPA PROSPECT,11.00
26/02/2026,26/02/2026,APPLE.COM/BILL          SYDNEY,4.49
26/02/2026,27/02/2026,TARGET WILLIAMS LAND    WILLIAMS LAND,106.00
26/02/2026,26/02/2026,WOOLWORTHS 5687 NORTHPA PROSPECT,25.50
25/02/2026,26/02/2026,BUNNINGS WAREHOUSE 5212 PROSPECT,105.81
25/02/2026,25/02/2026,ROMEO FOODLAND RUNDLE M ADELAIDE,8.15
24/02/2026,24/02/2026,HUMMUS HUSTLE           Adelaide,17.78
24/02/2026,25/02/2026,SUPERLOOP LIMITED       BRISBANE,69.00
23/02/2026,24/02/2026,ADE050 S808711          Adelaide,13.00
22/02/2026,23/02/2026,BOTTEGA GELATERIA       Prospect,18.03
22/02/2026,22/02/2026,BRUMBYS - NORTH PERTH   PROSPECT,3.64
22/02/2026,22/02/2026,COLES NORTH PARK 471    PROSPECT,97.83
22/02/2026,22/02/2026,WOOLWORTHS 5687 NORTHPA PROSPECT,20.22
22/02/2026,22/02/2026,ZIPPYS CAR WASH         PROSPECT,2.20
22/02/2026,22/02/2026,ZIPPYS CAR WASH         PROSPECT,3.20
22/02/2026,22/02/2026,ZIPPYS CAR WASH         PROSPECT,8.20
20/02/2026,21/02/2026,BOTTEGA GELATERIA       Prospect,8.71
18/02/2026,19/02/2026,ADE050 S808711          Adelaide,13.00
18/02/2026,18/02/2026,CAFE MICHAEL 2          ADELAIDE,14.90
17/02/2026,18/02/2026,ADE050 S808711          Adelaide,13.00
16/02/2026,17/02/2026,X CONVENIENCE OG ROAD   KLEMZIG,12.99
16/02/2026,16/02/2026,ZAMBRERO SA PTY LTD ZAM ADELAIDE,19.30
15/02/2026,16/02/2026,ADE050 S808711          Adelaide,13.00
15/02/2026,16/02/2026,ALLIANZ INSURANCE ABS   SYDNEY,37.31
15/02/2026,15/02/2026,CHEMIST WAREHOUSE MYER  ADELAIDE,4.50
15/02/2026,15/02/2026,UNIQLO AUSTRALIA PTY LT MELBOURNE,19.90
15/02/2026,15/02/2026,UNIQLO AUSTRALIA PTY LT MELBOURNE,29.80
14/02/2026,15/02/2026,KOYO                    ADELAIDE,67.32
14/02/2026,15/02/2026,OTR HILTON              HILTON,9.98
13/02/2026,14/02/2026,ADE050 S808711          Adelaide,13.00
13/02/2026,13/02/2026,BUNNINGS MAIN STORE 512 MILE END,612.00
13/02/2026,13/02/2026,ZHIAI PTY LTD           ADELAIDE,22.16
12/02/2026,13/02/2026,A POT CALLED KETTLE &   ADELAIDE,9.49
12/02/2026,13/02/2026,ADE050 S808711          Adelaide,13.00
12/02/2026,12/02/2026,COLES NORTH PARK 471    PROSPECT,21.01
11/02/2026,11/02/2026,IKEA ADELAIDE           ADELAIDE AIRPOR,5.00
10/02/2026,10/02/2026,COLES NORTH PARK 471    PROSPECT,1.84
09/02/2026,09/02/2026,APPLE.COM/BILL          SYDNEY,1.49
09/02/2026,10/02/2026,BETTYS RUNDLE           ADELAIDE,14.90
09/02/2026,09/02/2026,HOMEBOY CO PTY LTD      Adelaide,5.59
09/02/2026,09/02/2026,TED'S CAMERA STORE ADEL ADELAIDE,151.60
08/02/2026,09/02/2026,HOMEBOY CO PTY LTD      Adelaide,5.59
08/02/2026,09/02/2026,X CONVENIENCE PROSPECT  PROSPECT,10.98
07/02/2026,07/02/2026,CHASKA CHAAT KA PTY L 1 PROSPECT,26.33
07/02/2026,07/02/2026,IGA LOCAL GROCER - BOWD BOWDEN,7.88
07/02/2026,07/02/2026,OFFICEWORKS PROSPECT 50 PROSPECT,8.00
07/02/2026,08/02/2026,ST LOUIS PROSPECT 29189 PROSPECT,13.40
07/02/2026,08/02/2026,WOODVILLE CONCERT CHOIR Croydon Park,3.50
06/02/2026,07/02/2026,ADE050 S808711          Adelaide,13.00
06/02/2026,06/02/2026,COLES NORTH PARK 471    PROSPECT,9.13
06/02/2026,06/02/2026,HOMEBOY CO PTY LTD      Adelaide,5.59
06/02/2026,06/02/2026,HUMMUS HUSTLE           Adelaide,22.86
05/02/2026,06/02/2026,ADE050 S808711          Adelaide,13.00
05/02/2026,06/02/2026,ADIDAS AUSTRALIA PTY LI MULGRAVE,19.60
04/02/2026,05/02/2026,COLES 4948 GREENACRES   GREENACRES,4.45
04/02/2026,04/02/2026,COLES NORTH PARK 471    PROSPECT,11.00
04/02/2026,05/02/2026,GREENACRES  CHARCOAL CH GREENACRES,15.00
04/02/2026,04/02/2026,ST. RUNDLE 104678       ADELAIDE,8.01
04/02/2026,05/02/2026,ZAMBRERO GREENACRES     GREENACRES,14.50
04/02/2026,04/02/2026,ZAMBRERO SA PTY LTD ZAM ADELAIDE,14.50
03/02/2026,04/02/2026,BOTTEGA GELATERIA       Prospect,11.04
03/02/2026,03/02/2026,DAISO (55 GAWLER PL) 16 ADELAIDE,6.40
03/02/2026,03/02/2026,OFFICEWORKS GAWLER 512  ADELAIDE,6.50
03/02/2026,04/02/2026,SP MILLIGRAM            MELBOURNE,9.99
01/02/2026,01/02/2026,COLES PROSPECT 461      PROSPECT,33.57
31/01/2026,31/01/2026,IKEA ADELAIDE           ADELAIDE AIRPOR,212.99
31/01/2026,31/01/2026,SADC & TT PTY LTD 17734 MODBURY,14.21
31/01/2026,01/02/2026,ZONE BOWLING            WESTBOURNE PARK,69.80
30/01/2026,31/01/2026,THE LOST LOAF           Bowden,25.20
28/01/2026,29/01/2026,ADE050 S808711          Adelaide,13.00
28/01/2026,28/01/2026,BUPA HI PTY LTD         MELBOURNE,161.08
28/01/2026,28/01/2026,ZAMBRERO SA PTY LTD ZAM ADELAIDE,14.50
27/01/2026,27/01/2026,ZAMBRERO SA PTY LTD ZAM ADELAIDE,14.50
26/01/2026,27/01/2026,ADE050 S808711          Adelaide,13.00
26/01/2026,26/01/2026,APPLE.COM/BILL          SYDNEY,4.49
25/01/2026,26/01/2026,APPLE.COM/BILL          SYDNEY,4.49
25/01/2026,25/01/2026,COLES PROSPECT 461      PROSPECT,62.71
24/01/2026,24/01/2026,COLES 4948 GREENACRES   GREENACRES,7.90
24/01/2026,25/01/2026,JUAN'S TORTA CANTINA    Bowden,16.15
24/01/2026,24/01/2026,ZAMBRERO GREENACRES     GREENACRES,14.50
23/01/2026,24/01/2026,ADE050 S808711          Adelaide,8.00
23/01/2026,24/01/2026,BIRDWOOD FUEL PTY LTD   BIRDWOOD,6.25
23/01/2026,24/01/2026,EXETER HOTEL            ADELAIDE,33.90
23/01/2026,23/01/2026,WWW.CHATKA* CHATKAZZ A  ADELAIDE,266.25
22/01/2026,22/01/2026,BARBERMAN               Torrensville,55.00
