,Date,Amount,Details,text,label
0,22/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD Adelaide,Dining & Food
1,22/10/2025,-66.29,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
2,22/10/2025,-30.13,CINNAMON CLUB NORWOOD     NORWOOD,CINNAMON CLUB NORWOOD NORWOOD,Dining & Food
3,21/10/2025,-24.89,UBER *EATS HELP.UBER.COM  Sydney,UBER *EATS HELP.UBER.COM Sydney,Transport & Travel
4,20/10/2025,-19.0,OFFICEWORKS 0503          NAILSWORTH,OFFICEWORKS 0503 NAILSWORTH,Shopping & Retail
5,20/10/2025,-14.72,LS The Upside On Prosp    Prospect,LS The Upside On Prosp Prospect,Other
6,20/10/2025,-30.86,LS The Upside On Prosp    Prospect,LS The Upside On Prosp Prospect,Other
7,20/10/2025,-13.0,WILSON PARKING ADEOBS     ADELAIDE,WILSON PARKING ADEOBS ADELAIDE,Transport & Travel
8,20/10/2025,-44.8,UNIQLO RUNDLE MALL        Adelaide,UNIQLO RUNDLE MALL Adelaide,Shopping & Retail
9,20/10/2025,-10.0,JONNY'S DELIGHTS 3        Hindmarsh,JONNY'S DELIGHTS 3 Hindmarsh,Dining & Food
10,20/10/2025,-93.11,Unihealth                 Adelaide,Unihealth Adelaide,Insurance & Healthcare
11,20/10/2025,-23.27,MUNOOSHI CAFE PTY. LTD    ADELAIDE,MUNOOSHI CAFE PTY. LTD ADELAIDE,Dining & Food
12,20/10/2025,-30.88,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
13,17/10/2025,-14.5,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD ADELAIDE,Dining & Food
14,17/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD Adelaide,Dining & Food
15,17/10/2025,-15.15,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
16,17/10/2025,-6.99,RUNDLE MALL FOODLAND      ADELAIDE,RUNDLE MALL FOODLAND ADELAIDE,Groceries
17,16/10/2025,977.0,PAYMENT THANKYOU 622812,PAYMENT THANKYOU 622812,Banking & Transfers
18,16/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD Adelaide,Dining & Food
19,16/10/2025,-28.88,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
20,15/10/2025,-14.5,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD ADELAIDE,Dining & Food
21,15/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD Adelaide,Dining & Food
22,15/10/2025,-26.91,LEBARA RECHARGE           NORTH SYDNEY,LEBARA RECHARGE NORTH SYDNEY,Dining & Food
23,14/10/2025,-5.02,SQ *CHAIOZ                North Adelaid,SQ *CHAIOZ North Adelaid,Dining & Food
24,14/10/2025,-4.55,ADELAIDE METRO TAP        ADELAIDE,ADELAIDE METRO TAP ADELAIDE,Transport & Travel
25,13/10/2025,-7.6,COLES 0471                PROSPECT,COLES 0471 PROSPECT,Groceries
26,13/10/2025,-11.2,COLES 0471                PROSPECT,COLES 0471 PROSPECT,Groceries
27,13/10/2025,-71.33,UBER *EATS HELP.UBER.COM  Sydney,UBER *EATS HELP.UBER.COM Sydney,Transport & Travel
28,13/10/2025,-2.5,POST ADELAIDE UNIVERSI    ADELAIDE,POST ADELAIDE UNIVERSI ADELAIDE,Other
29,13/10/2025,-10.99,JB HI FI ADELAIDE CI      ADELAIDE,JB HI FI ADELAIDE CI ADELAIDE,Shopping & Retail
30,13/10/2025,-8.85,SUBWAY RUNDLE PLACE       ADELAIDE,SUBWAY RUNDLE PLACE ADELAIDE,Other
31,13/10/2025,-15.05,SQ *ABANG ABANG           Adelaide,SQ *ABANG ABANG Adelaide,Other
