Date,Amount,Details,text,label,Predicted_Label,Similarity,Top3,Similarity_Score
30/09/2025,-98.0,officeworks 0503          nailsworth,officeworks 0503          nailsworth,Shopping & Retail,Shopping & Retail,0.31714624,"Home & Hardware:0.32, Shopping & Retail:0.26, Utilities & Bills:0.21",0.06211300527903202
29/09/2025,-5.86,chatkazz lightsview       lightsview,chatkazz lightsview       lightsview,Dining & Food,Dining & Food,0.05327609,"Home & Hardware:0.05, Entertainment & Subscriptions:0.04, Transport & Travel:0.03",0.04829300829180179
29/09/2025,-16.51,chatkazz lightsview       lightsview,chatkazz lightsview       lightsview,Dining & Food,Dining & Food,0.05327609,"Home & Hardware:0.05, Entertainment & Subscriptions:0.04, Transport & Travel:0.03",0.04829300829180179
29/09/2025,-63.27,united richmond           richmond,united richmond           richmond,Auto & Fuel,Auto & Fuel,0.1708731,"Groceries:0.17, Donations & Charity:0.15, Shopping & Retail:0.14",0.07847924376794282
29/09/2025,-14.57,bakery on o'connell-      north adelaid,bakery on o connell       north adelaid,Dining & Food,Dining & Food,0.2809066,"Groceries:0.28, Dining & Food:0.24, Travel & Accommodation:0.22",0.053703650783357974
29/09/2025,-19.0,jb hi fi adelaide ci      adelaide,jb hi fi adelaide ci      adelaide,Shopping & Retail,Shopping & Retail,0.13518274,"Insurance & Healthcare:0.14, Shopping & Retail:0.13, Groceries:0.11",0.0961623040250635
29/09/2025,-71.66,culinary escapades pty lt campbelltown,culinary escapades pty lt campbelltown,Dining & Food,Dining & Food,0.35285932,"Dining & Food:0.35, Medical & Pharmacy:0.27, Groceries:0.27",0.04584035550107031
29/09/2025,-10.0,zambrero sa pty ltd       adelaide,zambrero sa pty ltd       adelaide,Dining & Food,Utilities & Bills,0.30900955,"Utilities & Bills:0.31, Insurance & Healthcare:0.28, Groceries:0.25",0.05841943439811333
29/09/2025,-23.69,aldi stores               prospect,aldi stores               prospect,Groceries,Groceries,0.5039382,"Groceries:0.50, Shopping & Retail:0.46, Travel & Accommodation:0.32",0.13120765948231075
26/09/2025,-5.68,sq *chaioz                north adelaid,sq  chaioz                north adelaid,Dining & Food,Dining & Food,0.19068366,"Dining & Food:0.19, Groceries:0.18, Insurance & Healthcare:0.16",0.05601945072098436
26/09/2025,-29.59,coles 4948                greenacres,coles 4948                greenacres,Groceries,Groceries,0.27012146,"Groceries:0.27, Insurance & Healthcare:0.14, Shopping & Retail:0.13",0.08892498735968482
26/09/2025,-9.99,rundle mall foodland      adelaide,rundle mall foodland      adelaide,Groceries,Groceries,0.45674497,"Groceries:0.46, Shopping & Retail:0.34, Home & Hardware:0.27",0.11708702689886949
25/09/2025,-35.0,retailors ops pty ltd     adelaide,retailors ops pty ltd     adelaide,Other,Groceries,0.34293142,"Shopping & Retail:0.34, Groceries:0.34, Insurance & Healthcare:0.26",0.0
25/09/2025,-1.29,post adelaide universi    adelaide,post adelaide universi    adelaide,Other,Groceries,0.2448734,"Education & Learning:0.24, Travel & Accommodation:0.19, Medical & Pharmacy:0.19",0.0
24/09/2025,-5.59,sq *homeboy co pty ltd    adelaide,sq  homeboy co pty ltd    adelaide,Dining & Food,Dining & Food,0.273171,"Groceries:0.27, Insurance & Healthcare:0.25, Shopping & Retail:0.25",0.06131691572145705
24/09/2025,-60.6,lucia s pizza and sp      adelaide,lucia s pizza and sp      adelaide,Dining & Food,Dining & Food,0.41499597,"Dining & Food:0.41, Groceries:0.35, Travel & Accommodation:0.29",0.054005887903459227
