Date,Amount,Details,Predicted_Label,Similarity,Top3
30/09/2025,-98.0,officeworks 0503          nailsworth,Home & Hardware,0.31714624,"Home & Hardware:0.32, Shopping & Retail:0.26, Utilities & Bills:0.21"
29/09/2025,-5.86,chatkazz lightsview       lightsview,Other,0.05327609,"Home & Hardware:0.05, Entertainment & Subscriptions:0.04, Transport & Travel:0.03"
29/09/2025,-16.51,chatkazz lightsview       lightsview,Other,0.05327609,"Home & Hardware:0.05, Entertainment & Subscriptions:0.04, Transport & Travel:0.03"
29/09/2025,-63.27,united richmond           richmond,Other,0.1708731,"Groceries:0.17, Donations & Charity:0.15, Shopping & Retail:0.14"
29/09/2025,-14.57,bakery on o'connell-      north adelaid,Other,0.2809066,"Groceries:0.28, Dining & Food:0.24, Travel & Accommodation:0.22"
29/09/2025,-19.0,jb hi fi adelaide ci      adelaide,Other,0.13518274,"Insurance & Healthcare:0.14, Shopping & Retail:0.13, Groceries:0.11"
29/09/2025,-71.66,culinary escapades pty lt campbelltown,Dining & Food,0.35285932,"Dining & Food:0.35, Medical & Pharmacy:0.27, Groceries:0.27"
29/09/2025,-10.0,zambrero sa pty ltd       adelaide,Utilities & Bills,0.30900955,"Utilities & Bills:0.31, Insurance & Healthcare:0.28, Groceries:0.25"
29/09/2025,-23.69,aldi stores               prospect,Groceries,0.5039382,"Groceries:0.50, Shopping & Retail:0.46, Travel & Accommodation:0.32"
26/09/2025,-5.68,sq *chaioz                north adelaid,Other,0.19068366,"Dining & Food:0.19, Groceries:0.18, Insurance & Healthcare:0.16"
26/09/2025,-29.59,coles 4948                greenacres,Other,0.27012146,"Groceries:0.27, Insurance & Healthcare:0.14, Shopping & Retail:0.13"
26/09/2025,-9.99,rundle mall foodland      adelaide,Groceries,0.45674497,"Groceries:0.46, Shopping & Retail:0.34, Home & Hardware:0.27"
25/09/2025,-35.0,retailors ops pty ltd     adelaide,Shopping & Retail,0.34293142,"Shopping & Retail:0.34, Groceries:0.34, Insurance & Healthcare:0.26"
25/09/2025,-1.29,post adelaide universi    adelaide,Other,0.2448734,"Education & Learning:0.24, Travel & Accommodation:0.19, Medical & Pharmacy:0.19"
24/09/2025,-5.59,sq *homeboy co pty ltd    adelaide,Other,0.273171,"Groceries:0.27, Insurance & Healthcare:0.25, Shopping & Retail:0.25"
24/09/2025,-60.6,lucia s pizza and sp      adelaide,Dining & Food,0.41499597,"Dining & Food:0.41, Groceries:0.35, Travel & Accommodation:0.29"
24/09/2025,-3.2,asian gourmet rst pl      adelaide,Groceries,0.30966794,"Groceries:0.31, Home & Hardware:0.25, Insurance & Healthcare:0.24"
24/09/2025,-9.9,charlesworth nuts pt      adelaide,Other,0.2548872,"Groceries:0.25, Shopping & Retail:0.15, Home & Hardware:0.15"
23/09/2025,-134.29,coles 0471                prospect,Other,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07"
23/09/2025,-18.03,sq *bottega gelateria     prospect,Other,0.14640796,"Groceries:0.15, Dining & Food:0.14, Home & Hardware:0.13"
23/09/2025,-6.0,morphett vale laundret    osborne park,Other,0.17086044,"Home & Hardware:0.17, Groceries:0.15, Travel & Accommodation:0.14"
23/09/2025,-7.0,upark city of adl         adelaide,Other,0.21228777,"Groceries:0.21, Government & Fees:0.19, Travel & Accommodation:0.18"
22/09/2025,-28.35,cafe brunelli             adelaide,Dining & Food,0.3402961,"Dining & Food:0.34, Groceries:0.32, Travel & Accommodation:0.23"
22/09/2025,-6.6,cafe brunelli             adelaide,Dining & Food,0.3402961,"Dining & Food:0.34, Groceries:0.32, Travel & Accommodation:0.23"
22/09/2025,-53.73,uber *eats help.uber.com  sydney,Transport & Travel,0.43966806,"Transport & Travel:0.44, Travel & Accommodation:0.29, Groceries:0.28"
22/09/2025,-10.36,boost juice myer cent     adelaide,Other,0.21909183,"Groceries:0.22, Banking & Transfers:0.17, Auto & Fuel:0.14"
22/09/2025,-8.84,rundle mall foodland      adelaide,Groceries,0.45674497,"Groceries:0.46, Shopping & Retail:0.34, Home & Hardware:0.27"
22/09/2025,-12.49,pline ph greenacres       greenacres,Other,0.14841619,"Medical & Pharmacy:0.15, Shopping & Retail:0.11, Groceries:0.09"
22/09/2025,-2.6,adelaide metro tap        adelaide,Other,0.19896315,"Government & Fees:0.20, Utilities & Bills:0.19, Home & Hardware:0.15"
19/09/2025,-4.55,adelaide metro tap        adelaide,Other,0.19896315,"Government & Fees:0.20, Utilities & Bills:0.19, Home & Hardware:0.15"
18/09/2025,903.32,payment thankyou 885300,Other,0.27978858,"Banking & Transfers:0.28, Education & Learning:0.18, Insurance & Healthcare:0.17"
18/09/2025,90.0,payment thankyou 887268,Other,0.25084856,"Banking & Transfers:0.25, Education & Learning:0.17, Insurance & Healthcare:0.15"
18/09/2025,-11.04,sq *bottega gelateria     prospect,Other,0.14640786,"Groceries:0.15, Dining & Food:0.14, Home & Hardware:0.13"
18/09/2025,-16.5,zambrero sa pty ltd       adelaide,Utilities & Bills,0.30900946,"Utilities & Bills:0.31, Insurance & Healthcare:0.28, Groceries:0.25"
17/09/2025,-14.5,zambrero sa pty ltd       adelaide,Utilities & Bills,0.30900946,"Utilities & Bills:0.31, Insurance & Healthcare:0.28, Groceries:0.25"
17/09/2025,-44.8,aldi stores               kilburn,Groceries,0.50871944,"Groceries:0.51, Shopping & Retail:0.44, Travel & Accommodation:0.30"
